"","date","geo","inflation","price","job","trump","people","interest rate","economy","growth","economic","president","bank","market","fed","government","policy","billion","oil","financial","central bank","states","tax","companies","trade","labor","global","spending","money","workers"," dollar","investors"
"1",2004-01-01,"AU",26,23,85,0,37,26,48,55,46,16,60,63,15,66,49,53,35,96,0,65,21,77,58,22,10,66,49,44,29,64
"2",2004-02-01,"AU",25,22,87,0,50,26,79,63,56,28,56,56,20,91,68,60,42,91,73,71,20,92,90,27,11,31,40,53,34,58
"3",2004-03-01,"AU",39,24,74,0,69,18,95,77,75,34,51,61,12,100,89,57,40,91,29,72,20,86,75,29,11,72,50,50,31,30
"4",2004-04-01,"AU",38,23,72,0,54,28,86,77,78,21,53,68,20,82,89,63,36,90,63,60,22,100,74,29,11,100,46,42,24,100
"5",2004-05-01,"AU",63,24,72,2,65,28,96,86,100,30,52,67,5,91,100,49,47,100,50,83,24,86,88,30,12,60,51,69,27,15
"6",2004-06-01,"AU",28,23,76,2,60,24,70,73,68,26,54,56,17,80,82,58,45,81,70,71,26,71,78,23,11,38,51,45,27,70
"7",2004-07-01,"AU",26,25,80,1,49,24,57,57,43,25,56,52,13,75,64,59,39,80,0,70,36,74,67,24,10,67,47,50,24,65
"8",2004-08-01,"AU",41,23,76,3,68,29,94,100,84,26,53,59,13,83,92,45,43,80,85,76,25,82,91,34,11,41,50,57,28,77
"9",2004-09-01,"AU",41,24,77,0,58,32,78,82,77,26,55,61,14,80,92,61,41,92,66,71,25,77,81,59,12,64,46,59,24,65
"10",2004-10-01,"AU",48,22,71,1,59,36,100,84,84,27,53,64,15,83,83,57,43,84,57,65,25,75,88,53,12,94,48,49,24,54
"11",2004-11-01,"AU",19,23,78,1,59,17,74,67,60,33,54,51,24,69,72,46,37,68,31,73,21,65,65,21,10,41,49,46,30,49
"12",2004-12-01,"AU",24,24,71,2,38,9,40,47,31,18,62,60,13,61,47,40,38,70,64,48,21,61,51,12,9,38,52,40,27,78
"13",2005-01-01,"AU",18,24,89,2,33,16,50,45,46,18,59,54,13,65,45,51,40,72,41,50,22,65,58,16,9,59,47,42,29,32
"14",2005-02-01,"AU",25,24,91,1,52,30,64,61,51,23,60,54,21,75,60,45,39,75,100,70,24,80,66,27,11,40,45,48,32,49
"15",2005-03-01,"AU",27,22,84,1,62,43,89,76,70,20,60,61,21,80,70,58,40,83,76,73,24,70,68,17,12,53,51,47,32,63
"16",2005-04-01,"AU",32,25,82,1,57,31,89,72,71,20,61,67,16,74,81,43,40,94,54,72,22,79,71,18,11,53,51,48,28,65
"17",2005-05-01,"AU",38,24,82,1,62,33,87,79,81,29,55,62,16,80,86,53,41,94,30,72,28,73,73,22,11,31,51,57,27,44
"18",2005-06-01,"AU",25,24,82,1,57,32,63,55,56,23,59,52,21,75,70,55,41,79,28,63,31,63,64,17,10,41,53,53,24,45
"19",2005-07-01,"AU",18,23,82,0,46,19,45,55,43,19,57,48,9,66,53,51,38,74,52,50,48,65,60,14,11,29,52,47,24,65
"20",2005-08-01,"AU",30,25,79,1,61,19,74,70,64,23,52,56,18,77,73,56,46,69,64,69,31,70,69,20,12,35,51,45,23,63
"21",2005-09-01,"AU",49,26,71,1,55,24,87,72,61,20,55,59,23,68,71,52,48,74,69,63,28,72,72,20,11,16,52,52,25,41
"22",2005-10-01,"AU",34,24,80,1,58,24,75,74,62,22,55,63,13,70,67,54,44,81,44,54,28,64,74,19,11,56,51,53,25,38
"23",2005-11-01,"AU",22,23,79,1,57,27,61,51,45,20,52,51,18,61,60,52,43,66,44,56,20,58,55,18,10,41,54,48,22,59
"24",2005-12-01,"AU",18,25,70,1,40,16,33,34,24,16,57,50,22,43,39,40,37,52,41,42,20,46,44,10,9,33,50,34,23,44
"25",2006-01-01,"AU",24,23,96,1,37,25,40,46,35,17,56,50,14,55,39,50,37,67,49,50,23,60,51,10,9,26,50,37,31,44
"26",2006-02-01,"AU",21,23,92,0,54,24,52,50,47,23,65,49,17,66,53,41,41,68,45,55,23,61,60,14,11,31,52,49,22,45
"27",2006-03-01,"AU",28,23,84,1,55,28,79,65,61,21,64,53,19,69,62,56,41,80,25,53,23,61,63,19,10,26,54,53,25,69
"28",2006-04-01,"AU",29,23,74,0,49,24,68,67,54,23,60,63,18,61,60,55,42,77,0,52,25,61,59,19,10,50,52,49,28,51
"29",2006-05-01,"AU",32,24,77,0,55,45,71,76,64,22,64,59,18,70,73,50,45,91,65,56,32,62,67,20,12,49,53,51,27,55
"30",2006-06-01,"AU",24,21,72,1,49,26,55,60,43,17,57,51,24,64,50,44,38,68,38,47,31,51,60,16,10,48,58,50,23,54
"31",2006-07-01,"AU",26,21,77,0,43,30,43,48,32,16,63,46,25,56,49,57,43,66,33,43,52,55,57,12,9,34,55,44,24,44
"32",2006-08-01,"AU",38,22,74,0,57,50,67,58,46,21,67,55,19,72,62,45,44,73,54,51,38,57,60,18,10,41,59,46,23,61
"33",2006-09-01,"AU",31,22,72,1,48,27,52,61,48,18,64,57,18,60,52,47,40,68,62,41,26,54,64,19,12,21,58,41,23,53
"34",2006-10-01,"AU",38,22,79,0,46,37,57,62,48,20,68,59,17,63,59,54,41,80,44,46,30,54,73,20,13,37,61,47,23,42
"35",2006-11-01,"AU",23,21,71,0,42,37,49,49,35,20,66,53,18,56,48,54,37,59,54,42,22,49,54,20,13,44,55,42,23,41
